 Call Option
Frequency, Daily
Time Intervals, 252
 Stock Price, 100
Strike, 100
Volatility, 0.2
 Call Option
 Risk Free Rate, 0.05
Time to Expiry,1
 
Binary Call Option Value, Black Scholes Value,number of paths
0.5355421659939019, 0.5323248154537634, increment 0.01
0.5347811824543014, 0.5323248154537634, increment 0.02
0.5321177400656995, 0.5323248154537634, increment 0.03
0.5262201176337951, 0.5323248154537634, increment 0.04
0.5256493799790946, 0.5323248154537634, increment 0.05
0.5359226577637023, 0.5323248154537634, increment 0.06
0.5319274941807993, 0.5323248154537634, increment 0.07
0.5330689694902001, 0.5323248154537634, increment 0.08
0.5241274128998935, 0.5323248154537634, increment 0.09
0.5383958542674041, 0.5323248154537634, increment 0.1
0.5266006094035952, 0.5323248154537634, increment 0.11
0.5345909365694014, 0.5323248154537634, increment 0.12
0.5292640517921973, 0.5323248154537634, increment 0.13
0.5361129036486024, 0.5323248154537634, increment 0.14
0.5330689694902001, 0.5323248154537634, increment 0.15
0.5385861001523043, 0.5323248154537634, increment 0.16
0.5321177400656995, 0.5323248154537634, increment 0.17
0.5328787236053, 0.5323248154537634, increment 0.18
0.5336397071449006, 0.5323248154537634, increment 0.19
0.5201322493169904, 0.5323248154537634, increment 0.2
0.534210444799601, 0.5323248154537634, increment 0.21
0.5281225764827965, 0.5323248154537634, increment 0.22
0.5229859375904925, 0.5323248154537634, increment 0.23
0.5317372482958992, 0.5323248154537634, increment 0.24
0.5317372482958992, 0.5323248154537634, increment 0.25
0.5332592153751002, 0.5323248154537634, increment 0.26
0.5416300343107066, 0.5323248154537634, increment 0.27
0.5311665106411987, 0.5323248154537634, increment 0.28
0.5258396258639947, 0.5323248154537634, increment 0.29
0.5290738059072971, 0.5323248154537634, increment 0.3
0.5286933141374968, 0.5323248154537634, increment 0.31
0.5298347894468978, 0.5323248154537634, increment 0.32
0.5246981505545938, 0.5323248154537634, increment 0.33
0.5267908552884953, 0.5323248154537634, increment 0.34
0.5243176587847936, 0.5323248154537634, increment 0.35000000000000003
0.5229859375904925, 0.5323248154537634, increment 0.36
0.5340201989147009, 0.5323248154537634, increment 0.37
0.5328787236053, 0.5323248154537634, increment 0.38
0.5328787236053, 0.5323248154537634, increment 0.39
0.5256493799790946, 0.5323248154537634, increment 0.4
0.5344006906845011, 0.5323248154537634, increment 0.41000000000000003
0.5319274941807993, 0.5323248154537634, increment 0.42
0.5199420034320903, 0.5323248154537634, increment 0.43
0.5402983131164055, 0.5323248154537634, increment 0.44
0.5290738059072971, 0.5323248154537634, increment 0.45
0.5404885590013058, 0.5323248154537634, increment 0.46
0.51956151166229, 0.5323248154537634, increment 0.47000000000000003
0.5406788048862059, 0.5323248154537634, increment 0.48
0.5345909365694014, 0.5323248154537634, increment 0.49
0.5425812637352073, 0.5323248154537634, increment 0.5
0.5267908552884953, 0.5323248154537634, increment 0.51
0.5298347894468978, 0.5323248154537634, increment 0.52
0.5296445435619975, 0.5323248154537634, increment 0.53
0.5191810198924897, 0.5323248154537634, increment 0.54
0.5441032308144084, 0.5323248154537634, increment 0.55
0.527551838828096, 0.5323248154537634, increment 0.56
0.538205608382504, 0.5323248154537634, increment 0.5700000000000001
0.5336397071449006, 0.5323248154537634, increment 0.58
0.5250786423243942, 0.5323248154537634, increment 0.59
0.5283128223676966, 0.5323248154537634, increment 0.6
0.5336397071449006, 0.5323248154537634, increment 0.61
0.5355421659939019, 0.5323248154537634, increment 0.62
0.5357324118788022, 0.5323248154537634, increment 0.63
0.5363031495335026, 0.5323248154537634, increment 0.64
0.527551838828096, 0.5323248154537634, increment 0.65
0.5248883964394939, 0.5323248154537634, increment 0.66
0.539537329576805, 0.5323248154537634, increment 0.67
0.5357324118788022, 0.5323248154537634, increment 0.68
0.530215281216698, 0.5323248154537634, increment 0.6900000000000001
0.536873887188203, 0.5323248154537634, increment 0.7000000000000001
0.5345909365694014, 0.5323248154537634, increment 0.71
0.5262201176337951, 0.5323248154537634, increment 0.72
0.5283128223676966, 0.5323248154537634, increment 0.73
0.5326884777203998, 0.5323248154537634, increment 0.74
0.5336397071449006, 0.5323248154537634, increment 0.75
0.5366836413033029, 0.5323248154537634, increment 0.76
0.5397275754617051, 0.5323248154537634, increment 0.77
0.5290738059072971, 0.5323248154537634, increment 0.78
0.5433422472748078, 0.5323248154537634, increment 0.79
0.5313567565260988, 0.5323248154537634, increment 0.8
0.5267908552884953, 0.5323248154537634, increment 0.81
0.5266006094035952, 0.5323248154537634, increment 0.8200000000000001
0.5321177400656995, 0.5323248154537634, increment 0.8300000000000001
0.5469569190879106, 0.5323248154537634, increment 0.84
0.5364933954184027, 0.5323248154537634, increment 0.85
0.520893232856591, 0.5323248154537634, increment 0.86
0.536873887188203, 0.5323248154537634, increment 0.87
0.540869050771106, 0.5323248154537634, increment 0.88
0.5353519201090018, 0.5323248154537634, increment 0.89
0.5372543789580032, 0.5323248154537634, increment 0.9
0.5326884777203998, 0.5323248154537634, increment 0.91
0.5271713470582957, 0.5323248154537634, increment 0.92
0.538205608382504, 0.5323248154537634, increment 0.93
0.5292640517921973, 0.5323248154537634, increment 0.9400000000000001
0.5250786423243942, 0.5323248154537634, increment 0.9500000000000001
0.5361129036486024, 0.5323248154537634, increment 0.96
0.51956151166229, 0.5323248154537634, increment 0.97
0.5271713470582957, 0.5323248154537634, increment 0.98
0.5324982318354997, 0.5323248154537634, increment 0.99
0.5340201989147009, 0.5323248154537634, increment 1
0.5311665106411987, 0.5323248154537634, increment 1.01
0.5317372482958992, 0.5323248154537634, increment 1.02
0.5389665919221046, 0.5323248154537634, increment 1.03
0.5292640517921973, 0.5323248154537634, increment 1.04
0.5258396258639947, 0.5323248154537634, increment 1.05
0.5319274941807993, 0.5323248154537634, increment 1.06
0.5264103635186952, 0.5323248154537634, increment 1.07
0.5450544602389091, 0.5323248154537634, increment 1.08
0.5267908552884953, 0.5323248154537634, increment 1.09
0.5285030682525967, 0.5323248154537634, increment 1.1
0.5241274128998935, 0.5323248154537634, increment 1.11
0.5370641330731031, 0.5323248154537634, increment 1.12
0.5418202801956067, 0.5323248154537634, increment 1.1300000000000001
0.5351616742241017, 0.5323248154537634, increment 1.1400000000000001
0.5273615929431958, 0.5323248154537634, increment 1.1500000000000001
0.530215281216698, 0.5323248154537634, increment 1.16
0.5401080672315054, 0.5323248154537634, increment 1.17
0.5294542976770974, 0.5323248154537634, increment 1.18
0.5383958542674041, 0.5323248154537634, increment 1.19
0.5427715096201075, 0.5323248154537634, increment 1.2
0.5404885590013058, 0.5323248154537634, increment 1.21
0.5349714283392015, 0.5323248154537634, increment 1.22
0.527551838828096, 0.5323248154537634, increment 1.23
0.530215281216698, 0.5323248154537634, increment 1.24
0.5267908552884953, 0.5323248154537634, increment 1.25
0.5298347894468978, 0.5323248154537634, increment 1.26
0.5266006094035952, 0.5323248154537634, increment 1.27
0.5296445435619975, 0.5323248154537634, increment 1.28
0.5239371670149933, 0.5323248154537634, increment 1.29
0.5281225764827965, 0.5323248154537634, increment 1.3
0.5309762647562986, 0.5323248154537634, increment 1.31
0.5334494612600004, 0.5323248154537634, increment 1.32
0.5385861001523043, 0.5323248154537634, increment 1.33
0.5277420847129961, 0.5323248154537634, increment 1.34
0.5243176587847936, 0.5323248154537634, increment 1.35
0.536873887188203, 0.5323248154537634, increment 1.36
0.5305957729864983, 0.5323248154537634, increment 1.37
0.5359226577637023, 0.5323248154537634, increment 1.3800000000000001
0.5269811011733956, 0.5323248154537634, increment 1.3900000000000001
0.5441032308144084, 0.5323248154537634, increment 1.4000000000000001
0.5307860188713984, 0.5323248154537634, increment 1.41
