 Call Option
Frequency, Daily
Time Intervals, 252
 Stock Price, 100
Strike, 100
Volatility, varying
 Call Option
 Risk Free Rate, 0.05
Time to Expiry,1
 
0, 0.5323248154537634,   0 vol
0.25464411693884115, 0.5323248154537634,   0.1 vol
0.33673521627325276, 0.5323248154537634,   0.2 vol
0.3504329199860631, 0.5323248154537634,   0.30000000000000004 vol
0.3421572239929068, 0.5323248154537634,   0.4 vol
0.3451060352088591, 0.5323248154537634,   0.5 vol
0.3293156267621472, 0.5323248154537634,   0.6000000000000001 vol
0.311717882408884, 0.5323248154537634,   0.7000000000000001 vol
0.30553489114962934, 0.5323248154537634,   0.8 vol
0.2929786627462199, 0.5323248154537634,   0.9 vol
0.27794923783910863, 0.5323248154537634,   1 vol
0.26158809173769637, 0.5323248154537634,   1.1 vol
0.2460830521183347, 0.5323248154537634,   1.2000000000000002 vol
0.2381878478949788, 0.5323248154537634,   1.3 vol
0.21906813646251444, 0.5323248154537634,   1.4000000000000001 vol
0.20803387513830615, 0.5323248154537634,   1.5 vol
0.18672633602949015, 0.5323248154537634,   1.6 vol
0.17274326348932967, 0.5323248154537634,   1.7000000000000002 vol
0.1682724851941763, 0.5323248154537634,   1.8 vol
0.15409916676911567, 0.5323248154537634,   1.9000000000000001 vol
